lat,long,tp_num,tp_name,type,height_m,height_ft,nat_park
53.3114229352508,-1.73066082823476,TP0775,Abney Moor,Pillar,393.6,1291.2,peak district
53.1321516782753,-1.73986790956554,TP0811,Aleck Low,Pillar,0,0,peak district
53.1052176796003,-1.76439213702337,TP10352,Alsop Moor Works Chimney,Intersected Station,552.1,1811.4,peak district
53.2325426565081,-1.94899467294798,TP0942,Axe Edge,Pillar,538.3,1766,peak district
53.4153587832111,-1.70412745347624,TP0949,Back Tor,Pillar,0,0,peak district
53.2129566566919,-1.67861381994702,TP9747,Bakewell Church Spire,Intersected Station,266.5,874.2,peak district
53.1376015916836,-1.8250385280006,TP1010,Bank Top,Pillar,0,0,peak district
53.2992293625723,-1.58475962842147,TP0195,Barbrook,Surface Block,310.3,1018,peak district
53.2541222642218,-1.58440187987031,TP1376,Birchen Edge,Pillar,507.2,1664,peak district
53.289983092661,-1.90764363956692,TP1406,Black Edge,Pillar,295.1,968.1,peak district
53.3273877877611,-1.56612393271885,TP1435,Blacka Plantation,Pillar,295.6,969.9,peak district
53.0955762903355,-1.68785117940551,TP1460,Blackstones Low,Pillar,488.9,1604.1,peak district
53.1461192392169,-1.93964761733321,TP0713,Blake Mere,Pillar,366.9,1203.8,peak district
53.1311139007587,-1.62102543255548,TP1483,Blakelow Hill,Pillar,355.8,1167.2,peak district
53.2050566965756,-1.72593781121623,TP1521,Bole Hill,Pillar,405.5,1330.2,peak district
53.0855895442997,-1.94409148908525,TP1562,Bradnop,Pillar,471,1545.4,peak district
53.3179651555883,-1.80363285757018,TP1566,Bradwell Moor,Pillar,0,0,peak district
53.4480569104298,-1.63209463762235,TP0526,Broomhead Moor,FBM,569,1866.8,peak district
53.3629691583688,-1.87570483961172,TP1707,Brown Knoll,Pillar,500.1,1640.7,peak district
53.2562223102364,-1.95709084176527,TP1769,Burbage Edge,Pillar,0,0,peak district
53.1063598517733,-1.88816996979298,TP9745,Butterton Church Spire,Intersected Station,289.8,950.6,peak district
53.210102973615,-1.64540952251495,TP1882,Calton Pastures,Pillar,0,0,peak district
